pocket_inchi,pocket_filename,protein_filename,representative,representative_name,protein_name,domain,organism,protein_code,chain_code,ligand_code,ligand_occupancy,int.protein_code,int.chain_code,int.protein_name,int.domain,int.organism
7s3s1A_002_______________,Pocket_002_7s3s1_1_A.pdb,7s3s1_1_A.pdb, , ,Nsp-5 (Mpro),cd21666,Severe acute respiratory syndrome coronavirus 2,7S3S,A, , , , , , , 
7s3s1A_001_______________,Pocket_001_7s3s1_1_A.pdb,7s3s1_1_A.pdb, , ,Nsp-5 (Mpro),cd21666,Severe acute respiratory syndrome coronavirus 2,7S3S,A, , , , , , , 
7s3k1A_002_______________,Pocket_002_7s3k1_1_A.pdb,7s3k1_1_A.pdb, , ,Nsp-5 (Mpro),cd21666,Severe acute respiratory syndrome coronavirus 2,7S3K,A,Z26,1, , , , , 
7s3k1A_001_______________,Pocket_001_7s3k1_1_A.pdb,7s3k1_1_A.pdb, , ,Nsp-5 (Mpro),cd21666,Severe acute respiratory syndrome coronavirus 2,7S3K,A, , , , , , , 
7rzc1A_007_______________,Pocket_007_7rzc1_1_A.pdb,7rzc1_1_A.pdb, , ,Nsp-3 (Papain-like protease),"cd21466,cd21732",Severe acute respiratory syndrome coronavirus 2,7RZC,A, , , , , , , 
7rzc1A_006_______________,Pocket_006_7rzc1_1_A.pdb,7rzc1_1_A.pdb, , ,Nsp-3 (Papain-like protease),"cd21466,cd21732",Severe acute respiratory syndrome coronavirus 2,7RZC,A, , , , , , , 
7rzc1A_005_______________,Pocket_005_7rzc1_1_A.pdb,7rzc1_1_A.pdb, , ,Nsp-3 (Papain-like protease),"cd21466,cd21732",Severe acute respiratory syndrome coronavirus 2,7RZC,A, , , , , , , 
7rzc1A_004_______________,Pocket_004_7rzc1_1_A.pdb,7rzc1_1_A.pdb, , ,Nsp-3 (Papain-like protease),"cd21466,cd21732",Severe acute respiratory syndrome coronavirus 2,7RZC,A, , , , , , , 
7rzc1A_003_______________,Pocket_003_7rzc1_1_A.pdb,7rzc1_1_A.pdb, , ,Nsp-3 (Papain-like protease),"cd21466,cd21732",Severe acute respiratory syndrome coronavirus 2,7RZC,A, , , , , , , 
7rzc1A_002_______________,Pocket_002_7rzc1_1_A.pdb,7rzc1_1_A.pdb, , ,Nsp-3 (Papain-like protease),"cd21466,cd21732",Severe acute respiratory syndrome coronavirus 2,7RZC,A,JWX,0.958, , , , , 
7rzc1A_001_______________,Pocket_001_7rzc1_1_A.pdb,7rzc1_1_A.pdb, , ,Nsp-3 (Papain-like protease),"cd21466,cd21732",Severe acute respiratory syndrome coronavirus 2,7RZC,A, , , , , , , 
7rn11A_004_______________,Pocket_004_7rn11_1_A.pdb,7rn11_1_A.pdb, , ,Nsp-5 (Mpro),cd21666,Severe acute respiratory syndrome coronavirus 2,7RN1,A, , , , , , , 
7rn11A_003_______________,Pocket_003_7rn11_1_A.pdb,7rn11_1_A.pdb, , ,Nsp-5 (Mpro),cd21666,Severe acute respiratory syndrome coronavirus 2,7RN1,A, , , , , , , 
7rn11A_002_______________,Pocket_002_7rn11_1_A.pdb,7rn11_1_A.pdb, , ,Nsp-5 (Mpro),cd21666,Severe acute respiratory syndrome coronavirus 2,7RN1,A, , , , , , , 
7rn11A_001_______________,Pocket_001_7rn11_1_A.pdb,7rn11_1_A.pdb, , ,Nsp-5 (Mpro),cd21666,Severe acute respiratory syndrome coronavirus 2,7RN1,A,5ZF,1, , , , , 
7rn01A_003_______________,Pocket_003_7rn01_1_A.pdb,7rn01_1_A.pdb, , ,Nsp-5 (Mpro),cd21666,Severe acute respiratory syndrome coronavirus 2,7RN0,A, , , , , , , 
7rn01A_002_______________,Pocket_002_7rn01_1_A.pdb,7rn01_1_A.pdb, , ,Nsp-5 (Mpro),cd21666,Severe acute respiratory syndrome coronavirus 2,7RN0,A, , , , , , , 
7rn01A_001_______________,Pocket_001_7rn01_1_A.pdb,7rn01_1_A.pdb, , ,Nsp-5 (Mpro),cd21666,Severe acute respiratory syndrome coronavirus 2,7RN0,A,5ZB,0.97, , , , , 
7rc11A_004_______________,Pocket_004_7rc11_1_A.pdb,7rc11_1_A.pdb, , ,Nsp-5 (Mpro),cd21666,Severe acute respiratory syndrome-related coronavirus,7RC1,A, , , , , , , 
7rc11A_003_______________,Pocket_003_7rc11_1_A.pdb,7rc11_1_A.pdb, , ,Nsp-5 (Mpro),cd21666,Severe acute respiratory syndrome-related coronavirus,7RC1,A, , , , , , , 
7rc11A_002_______________,Pocket_002_7rc11_1_A.pdb,7rc11_1_A.pdb, , ,Nsp-5 (Mpro),cd21666,Severe acute respiratory syndrome-related coronavirus,7RC1,A,4IO,1, , , , , 
7rc11A_001_______________,Pocket_001_7rc11_1_A.pdb,7rc11_1_A.pdb, , ,Nsp-5 (Mpro),cd21666,Severe acute respiratory syndrome-related coronavirus,7RC1,A, , , , , , , 
7rc01A_004_______________,Pocket_004_7rc01_1_A.pdb,7rc01_1_A.pdb, , ,Nsp-5 (Mpro),cd21666,Severe acute respiratory syndrome coronavirus 2,7RC0,A, , , , , , , 
7rc01A_003_______________,Pocket_003_7rc01_1_A.pdb,7rc01_1_A.pdb, , ,Nsp-5 (Mpro),cd21666,Severe acute respiratory syndrome coronavirus 2,7RC0,A,4I9,0.909, , , , , 
7rc01A_002_______________,Pocket_002_7rc01_1_A.pdb,7rc01_1_A.pdb, , ,Nsp-5 (Mpro),cd21666,Severe acute respiratory syndrome coronavirus 2,7RC0,A, , , , , , , 
7rc01A_001_______________,Pocket_001_7rc01_1_A.pdb,7rc01_1_A.pdb, , ,Nsp-5 (Mpro),cd21666,Severe acute respiratory syndrome coronavirus 2,7RC0,A, , , , , , , 
7rbz1A_004_______________,Pocket_004_7rbz1_1_A.pdb,7rbz1_1_A.pdb, , ,Nsp-5 (Mpro),cd21666,Severe acute respiratory syndrome coronavirus 2,7RBZ,A, , , , , , , 
7rbz1A_003_______________,Pocket_003_7rbz1_1_A.pdb,7rbz1_1_A.pdb, , ,Nsp-5 (Mpro),cd21666,Severe acute respiratory syndrome coronavirus 2,7RBZ,A,4IJ,0.818, , , , , 
7rbz1A_002_______________,Pocket_002_7rbz1_1_A.pdb,7rbz1_1_A.pdb, , ,Nsp-5 (Mpro),cd21666,Severe acute respiratory syndrome coronavirus 2,7RBZ,A, , , , , , , 
7rbz1A_001_______________,Pocket_001_7rbz1_1_A.pdb,7rbz1_1_A.pdb, , ,Nsp-5 (Mpro),cd21666,Severe acute respiratory syndrome coronavirus 2,7RBZ,A, , , , , , , 
7rbr1A_006_______________,Pocket_006_7rbr1_1_A.pdb,7rbr1_1_A.pdb, , ,Nsp-3 (Papain-like protease),"cd21466,cd21732",Severe acute respiratory syndrome coronavirus 2,7RBR,A, , , , , , , 
7rbr1A_005_______________,Pocket_005_7rbr1_1_A.pdb,7rbr1_1_A.pdb, , ,Nsp-3 (Papain-like protease),"cd21466,cd21732",Severe acute respiratory syndrome coronavirus 2,7RBR,A, , , , , , , 
7rbr1A_004_______________,Pocket_004_7rbr1_1_A.pdb,7rbr1_1_A.pdb, , ,Nsp-3 (Papain-like protease),"cd21466,cd21732",Severe acute respiratory syndrome coronavirus 2,7RBR,A, , , , , , , 
7rbr1A_003_______________,Pocket_003_7rbr1_1_A.pdb,7rbr1_1_A.pdb, , ,Nsp-3 (Papain-like protease),"cd21466,cd21732",Severe acute respiratory syndrome coronavirus 2,7RBR,A, , ,7rbr,B,,,Homo sapiens
7rbr1A_002_______________,Pocket_002_7rbr1_1_A.pdb,7rbr1_1_A.pdb, , ,Nsp-3 (Papain-like protease),"cd21466,cd21732",Severe acute respiratory syndrome coronavirus 2,7RBR,A, , , , , , , 
7rbr1A_001_______________,Pocket_001_7rbr1_1_A.pdb,7rbr1_1_A.pdb, , ,Nsp-3 (Papain-like protease),"cd21466,cd21732",Severe acute respiratory syndrome coronavirus 2,7RBR,A, , , , , , , 
7r7h1B_004_______________,Pocket_004_7r7h1_1_B.pdb,7r7h1_1_B.pdb, , ,Nsp-5 (Mpro),cd21666,Severe acute respiratory syndrome coronavirus 2,7R7H,B, , ,7r7h,A,Nsp-5 (Mpro),cd21666,Severe acute respiratory syndrome coronavirus 2
7r7h1B_003_______________,Pocket_003_7r7h1_1_B.pdb,7r7h1_1_B.pdb, , ,Nsp-5 (Mpro),cd21666,Severe acute respiratory syndrome coronavirus 2,7R7H,B, , , , , , , 
7r7h1B_002_______________,Pocket_002_7r7h1_1_B.pdb,7r7h1_1_B.pdb, , ,Nsp-5 (Mpro),cd21666,Severe acute respiratory syndrome coronavirus 2,7R7H,B, , , , , , , 
7r7h1B_001_______________,Pocket_001_7r7h1_1_B.pdb,7r7h1_1_B.pdb, , ,Nsp-5 (Mpro),cd21666,Severe acute respiratory syndrome coronavirus 2,7R7H,B,4IT,0.906, , , , , 
7r7h1A_005_______________,Pocket_005_7r7h1_1_A.pdb,7r7h1_1_A.pdb, , ,Nsp-5 (Mpro),cd21666,Severe acute respiratory syndrome coronavirus 2,7R7H,A, , ,7r7h,B,Nsp-5 (Mpro),cd21666,Severe acute respiratory syndrome coronavirus 2
7r7h1A_004_______________,Pocket_004_7r7h1_1_A.pdb,7r7h1_1_A.pdb, , ,Nsp-5 (Mpro),cd21666,Severe acute respiratory syndrome coronavirus 2,7R7H,A, , , , , , , 
7r7h1A_003_______________,Pocket_003_7r7h1_1_A.pdb,7r7h1_1_A.pdb, , ,Nsp-5 (Mpro),cd21666,Severe acute respiratory syndrome coronavirus 2,7R7H,A, , , , , , , 
7r7h1A_002_______________,Pocket_002_7r7h1_1_A.pdb,7r7h1_1_A.pdb, , ,Nsp-5 (Mpro),cd21666,Severe acute respiratory syndrome coronavirus 2,7R7H,A,4IT,0.938, , , , , 
7r7h1A_001_______________,Pocket_001_7r7h1_1_A.pdb,7r7h1_1_A.pdb, , ,Nsp-5 (Mpro),cd21666,Severe acute respiratory syndrome coronavirus 2,7R7H,A, , ,7r7h,B,Nsp-5 (Mpro),cd21666,Severe acute respiratory syndrome coronavirus 2
7r6w1R_002_______________,Pocket_002_7r6w1_1_R.pdb,7r6w1_1_R.pdb, , ,Spike S1 RBD,cd21480,Severe acute respiratory syndrome coronavirus 2,7R6W,R, , , , , , , 
7r6w1R_001_______________,Pocket_001_7r6w1_1_R.pdb,7r6w1_1_R.pdb, , ,Spike S1 RBD,cd21480,Severe acute respiratory syndrome coronavirus 2,7R6W,R, , , , , , , 
7p511A_006_______________,Pocket_006_7p511_1_A.pdb,7p511_1_A.pdb, , ,Nsp-5 (Mpro),cd21666,Severe acute respiratory syndrome coronavirus 2,7P51,A, , , , , , , 
7p511A_005_______________,Pocket_005_7p511_1_A.pdb,7p511_1_A.pdb, , ,Nsp-5 (Mpro),cd21666,Severe acute respiratory syndrome coronavirus 2,7P51,A, , , , , , , 
7p511A_004_______________,Pocket_004_7p511_1_A.pdb,7p511_1_A.pdb, , ,Nsp-5 (Mpro),cd21666,Severe acute respiratory syndrome coronavirus 2,7P51,A, , , , , , , 
7p511A_003_______________,Pocket_003_7p511_1_A.pdb,7p511_1_A.pdb, , ,Nsp-5 (Mpro),cd21666,Severe acute respiratory syndrome coronavirus 2,7P51,A, , , , , , , 
7p511A_002_______________,Pocket_002_7p511_1_A.pdb,7p511_1_A.pdb, , ,Nsp-5 (Mpro),cd21666,Severe acute respiratory syndrome coronavirus 2,7P51,A, , , , , , , 
7p511A_001_______________,Pocket_001_7p511_1_A.pdb,7p511_1_A.pdb, , ,Nsp-5 (Mpro),cd21666,Severe acute respiratory syndrome coronavirus 2,7P51,A,5P9,1, , , , , 
7orb1R_003_______________,Pocket_003_7orb1_1_R.pdb,7orb1_1_R.pdb, , ,Spike S1 RBD,cd21480,Severe acute respiratory syndrome coronavirus 2,7ORB,R, , , , , , , 
7orb1R_002_______________,Pocket_002_7orb1_1_R.pdb,7orb1_1_R.pdb, , ,Spike S1 RBD,cd21480,Severe acute respiratory syndrome coronavirus 2,7ORB,R, , , , , , , 
7orb1R_001_______________,Pocket_001_7orb1_1_R.pdb,7orb1_1_R.pdb, , ,Spike S1 RBD,cd21480,Severe acute respiratory syndrome coronavirus 2,7ORB,R, , , , , , , 
7or91E_002_______________,Pocket_002_7or91_1_E.pdb,7or91_1_E.pdb, , ,Spike S1 RBD,cd21480,Severe acute respiratory syndrome coronavirus 2,7OR9,E, , , , , , , 
7or91E_001_______________,Pocket_001_7or91_1_E.pdb,7or91_1_E.pdb, , ,Spike S1 RBD,cd21480,Severe acute respiratory syndrome coronavirus 2,7OR9,E, , , , , , , 
7olz1A_004_______________,Pocket_004_7olz1_1_A.pdb,7olz1_1_A.pdb, , ,Spike S1 RBD,cd21480,Severe acute respiratory syndrome coronavirus 2,7OLZ,A, , , , , , , 
7olz1A_003_______________,Pocket_003_7olz1_1_A.pdb,7olz1_1_A.pdb, , ,Spike S1 RBD,cd21480,Severe acute respiratory syndrome coronavirus 2,7OLZ,A, , , , , , , 
7olz1A_002_______________,Pocket_002_7olz1_1_A.pdb,7olz1_1_A.pdb, , ,Spike S1 RBD,cd21480,Severe acute respiratory syndrome coronavirus 2,7OLZ,A, , ,7olz,B,,,Vicugna pacos
7olz1A_001_______________,Pocket_001_7olz1_1_A.pdb,7olz1_1_A.pdb, , ,Spike S1 RBD,cd21480,Severe acute respiratory syndrome coronavirus 2,7OLZ,A, , , , , , , 
7oft1A_005_______________,Pocket_005_7oft1_1_A.pdb,7oft1_1_A.pdb, , ,Nsp-3 (Papain-like protease),"cd21466,cd21732",Severe acute respiratory syndrome coronavirus 2,7OFT,A, , , , , , , 
7oft1A_004_______________,Pocket_004_7oft1_1_A.pdb,7oft1_1_A.pdb, , ,Nsp-3 (Papain-like protease),"cd21466,cd21732",Severe acute respiratory syndrome coronavirus 2,7OFT,A, , , , , , , 
7oft1A_003_______________,Pocket_003_7oft1_1_A.pdb,7oft1_1_A.pdb, , ,Nsp-3 (Papain-like protease),"cd21466,cd21732",Severe acute respiratory syndrome coronavirus 2,7OFT,A, , , , , , , 
7oft1A_002_______________,Pocket_002_7oft1_1_A.pdb,7oft1_1_A.pdb, , ,Nsp-3 (Papain-like protease),"cd21466,cd21732",Severe acute respiratory syndrome coronavirus 2,7OFT,A, , , , , , , 
7oft1A_001_______________,Pocket_001_7oft1_1_A.pdb,7oft1_1_A.pdb, , ,Nsp-3 (Papain-like protease),"cd21466,cd21732",Severe acute respiratory syndrome coronavirus 2,7OFT,A,HBA,0.889, , , , , 
7nxa1E_002_______________,Pocket_002_7nxa1_1_E.pdb,7nxa1_1_E.pdb, , ,Spike S1 RBD,cd21480,Severe acute respiratory syndrome coronavirus 2,7NXA,E, , , , , , , 
7nxa1E_001_______________,Pocket_001_7nxa1_1_E.pdb,7nxa1_1_E.pdb, , ,Spike S1 RBD,cd21480,Severe acute respiratory syndrome coronavirus 2,7NXA,E, , , , , , , 
7nx91E_002_______________,Pocket_002_7nx91_1_E.pdb,7nx91_1_E.pdb, , ,Spike S1 RBD,cd21480,Severe acute respiratory syndrome coronavirus 2,7NX9,E, , , , , , , 
7nx91E_001_______________,Pocket_001_7nx91_1_E.pdb,7nx91_1_E.pdb, , ,Spike S1 RBD,cd21480,Severe acute respiratory syndrome coronavirus 2,7NX9,E, , , , , , , 
7nx81E_002_______________,Pocket_002_7nx81_1_E.pdb,7nx81_1_E.pdb, , ,Spike S1 RBD,cd21480,Severe acute respiratory syndrome coronavirus 2,7NX8,E, , , , , , , 
7nx81E_001_______________,Pocket_001_7nx81_1_E.pdb,7nx81_1_E.pdb, , ,Spike S1 RBD,cd21480,Severe acute respiratory syndrome coronavirus 2,7NX8,E, , , , , , , 
7nx71E_002_______________,Pocket_002_7nx71_1_E.pdb,7nx71_1_E.pdb, , ,Spike S1 RBD,cd21480,Severe acute respiratory syndrome coronavirus 2,7NX7,E, , , , , , , 
7nx71E_001_______________,Pocket_001_7nx71_1_E.pdb,7nx71_1_E.pdb, , ,Spike S1 RBD,cd21480,Severe acute respiratory syndrome coronavirus 2,7NX7,E, , , , , , , 
7nx61E_002_______________,Pocket_002_7nx61_1_E.pdb,7nx61_1_E.pdb, , ,Spike S1 RBD,cd21480,Severe acute respiratory syndrome coronavirus 2,7NX6,E, , , , , , , 
7nx61E_001_______________,Pocket_001_7nx61_1_E.pdb,7nx61_1_E.pdb, , ,Spike S1 RBD,cd21480,Severe acute respiratory syndrome coronavirus 2,7NX6,E, , , , , , , 
7nw21B_006_______________,Pocket_006_7nw21_1_B.pdb,7nw21_1_B.pdb, , ,Nsp-5 (Mpro),cd21666,Severe acute respiratory syndrome coronavirus 2,7NW2,B, , , , , , , 
7nw21B_005_______________,Pocket_005_7nw21_1_B.pdb,7nw21_1_B.pdb, , ,Nsp-5 (Mpro),cd21666,Severe acute respiratory syndrome coronavirus 2,7NW2,B, , , , , , , 
7nw21B_004_______________,Pocket_004_7nw21_1_B.pdb,7nw21_1_B.pdb, , ,Nsp-5 (Mpro),cd21666,Severe acute respiratory syndrome coronavirus 2,7NW2,B, , , , , , , 
7nw21B_003_______________,Pocket_003_7nw21_1_B.pdb,7nw21_1_B.pdb, , ,Nsp-5 (Mpro),cd21666,Severe acute respiratory syndrome coronavirus 2,7NW2,B, , , , , , , 
7nw21B_002_______________,Pocket_002_7nw21_1_B.pdb,7nw21_1_B.pdb, , ,Nsp-5 (Mpro),cd21666,Severe acute respiratory syndrome coronavirus 2,7NW2,B, , , , , , , 
7nw21B_001_______________,Pocket_001_7nw21_1_B.pdb,7nw21_1_B.pdb, , ,Nsp-5 (Mpro),cd21666,Severe acute respiratory syndrome coronavirus 2,7NW2,B, , , , , , , 
7nw21A_008_______________,Pocket_008_7nw21_1_A.pdb,7nw21_1_A.pdb, , ,Nsp-5 (Mpro),cd21666,Severe acute respiratory syndrome coronavirus 2,7NW2,A, , , , , , , 
7nw21A_007_______________,Pocket_007_7nw21_1_A.pdb,7nw21_1_A.pdb, , ,Nsp-5 (Mpro),cd21666,Severe acute respiratory syndrome coronavirus 2,7NW2,A, , , , , , , 
7nw21A_006_______________,Pocket_006_7nw21_1_A.pdb,7nw21_1_A.pdb, , ,Nsp-5 (Mpro),cd21666,Severe acute respiratory syndrome coronavirus 2,7NW2,A, , , , , , , 
7nw21A_005_______________,Pocket_005_7nw21_1_A.pdb,7nw21_1_A.pdb, , ,Nsp-5 (Mpro),cd21666,Severe acute respiratory syndrome coronavirus 2,7NW2,A, , , , , , , 
7nw21A_004_______________,Pocket_004_7nw21_1_A.pdb,7nw21_1_A.pdb, , ,Nsp-5 (Mpro),cd21666,Severe acute respiratory syndrome coronavirus 2,7NW2,A, , , , , , , 
7nw21A_003_______________,Pocket_003_7nw21_1_A.pdb,7nw21_1_A.pdb, , ,Nsp-5 (Mpro),cd21666,Severe acute respiratory syndrome coronavirus 2,7NW2,A,USZ,1, , , , , 
7nw21A_002_______________,Pocket_002_7nw21_1_A.pdb,7nw21_1_A.pdb, , ,Nsp-5 (Mpro),cd21666,Severe acute respiratory syndrome coronavirus 2,7NW2,A, , , , , , , 
7nw21A_001_______________,Pocket_001_7nw21_1_A.pdb,7nw21_1_A.pdb, , ,Nsp-5 (Mpro),cd21666,Severe acute respiratory syndrome coronavirus 2,7NW2,A, , , , , , , 
7nuk1B_005_______________,Pocket_005_7nuk1_1_B.pdb,7nuk1_1_B.pdb, , ,Nsp-5 (Mpro),cd21666,Severe acute respiratory syndrome coronavirus 2,7NUK,B, , , , , , , 
7nuk1B_004_______________,Pocket_004_7nuk1_1_B.pdb,7nuk1_1_B.pdb, , ,Nsp-5 (Mpro),cd21666,Severe acute respiratory syndrome coronavirus 2,7NUK,B, , , , , , , 
7nuk1B_003_______________,Pocket_003_7nuk1_1_B.pdb,7nuk1_1_B.pdb, , ,Nsp-5 (Mpro),cd21666,Severe acute respiratory syndrome coronavirus 2,7NUK,B, , , , , , , 
7nuk1B_002_______________,Pocket_002_7nuk1_1_B.pdb,7nuk1_1_B.pdb, , ,Nsp-5 (Mpro),cd21666,Severe acute respiratory syndrome coronavirus 2,7NUK,B,USH,1, , , , , 
7nuk1B_001_______________,Pocket_001_7nuk1_1_B.pdb,7nuk1_1_B.pdb, , ,Nsp-5 (Mpro),cd21666,Severe acute respiratory syndrome coronavirus 2,7NUK,B, , , , , , , 
7nuk1A_004_______________,Pocket_004_7nuk1_1_A.pdb,7nuk1_1_A.pdb, , ,Nsp-5 (Mpro),cd21666,Severe acute respiratory syndrome coronavirus 2,7NUK,A, , , , , , , 
7nuk1A_003_______________,Pocket_003_7nuk1_1_A.pdb,7nuk1_1_A.pdb, , ,Nsp-5 (Mpro),cd21666,Severe acute respiratory syndrome coronavirus 2,7NUK,A, , , , , , , 
7nuk1A_002_______________,Pocket_002_7nuk1_1_A.pdb,7nuk1_1_A.pdb, , ,Nsp-5 (Mpro),cd21666,Severe acute respiratory syndrome coronavirus 2,7NUK,A, , ,7nuk,B,Nsp-5 (Mpro),cd21666,Severe acute respiratory syndrome coronavirus 2
7nuk1A_001_______________,Pocket_001_7nuk1_1_A.pdb,7nuk1_1_A.pdb, , ,Nsp-5 (Mpro),cd21666,Severe acute respiratory syndrome coronavirus 2,7NUK,A, , , , , , , 
7ntv1B_005_______________,Pocket_005_7ntv1_1_B.pdb,7ntv1_1_B.pdb, , ,Nsp-5 (Mpro),cd21666,Severe acute respiratory syndrome coronavirus 2,7NTV,B, , , , , , , 
7ntv1B_004_______________,Pocket_004_7ntv1_1_B.pdb,7ntv1_1_B.pdb, , ,Nsp-5 (Mpro),cd21666,Severe acute respiratory syndrome coronavirus 2,7NTV,B, , , , , , , 
7ntv1B_003_______________,Pocket_003_7ntv1_1_B.pdb,7ntv1_1_B.pdb, , ,Nsp-5 (Mpro),cd21666,Severe acute respiratory syndrome coronavirus 2,7NTV,B,US8,0.762, , , , , 
7ntv1B_002_______________,Pocket_002_7ntv1_1_B.pdb,7ntv1_1_B.pdb, , ,Nsp-5 (Mpro),cd21666,Severe acute respiratory syndrome coronavirus 2,7NTV,B, , , , , , , 
7ntv1B_001_______________,Pocket_001_7ntv1_1_B.pdb,7ntv1_1_B.pdb, , ,Nsp-5 (Mpro),cd21666,Severe acute respiratory syndrome coronavirus 2,7NTV,B, , , , , , , 
7ntv1A_004_______________,Pocket_004_7ntv1_1_A.pdb,7ntv1_1_A.pdb, , ,Nsp-5 (Mpro),cd21666,Severe acute respiratory syndrome coronavirus 2,7NTV,A, , , , , , , 
7ntv1A_003_______________,Pocket_003_7ntv1_1_A.pdb,7ntv1_1_A.pdb, , ,Nsp-5 (Mpro),cd21666,Severe acute respiratory syndrome coronavirus 2,7NTV,A, , , , , , , 
7ntv1A_002_______________,Pocket_002_7ntv1_1_A.pdb,7ntv1_1_A.pdb, , ,Nsp-5 (Mpro),cd21666,Severe acute respiratory syndrome coronavirus 2,7NTV,A, , , , , , , 
7ntv1A_001_______________,Pocket_001_7ntv1_1_A.pdb,7ntv1_1_A.pdb, , ,Nsp-5 (Mpro),cd21666,Severe acute respiratory syndrome coronavirus 2,7NTV,A, , ,7ntv,B,Nsp-5 (Mpro),cd21666,Severe acute respiratory syndrome coronavirus 2
7nts1A_004_______________,Pocket_004_7nts1_1_A.pdb,7nts1_1_A.pdb, , ,Nsp-5 (Mpro),cd21666,Severe acute respiratory syndrome coronavirus 2,7NTS,A, , , , , , , 
7nts1A_003_______________,Pocket_003_7nts1_1_A.pdb,7nts1_1_A.pdb, , ,Nsp-5 (Mpro),cd21666,Severe acute respiratory syndrome coronavirus 2,7NTS,A, , , , , , , 
7nts1A_002_______________,Pocket_002_7nts1_1_A.pdb,7nts1_1_A.pdb, , ,Nsp-5 (Mpro),cd21666,Severe acute respiratory syndrome coronavirus 2,7NTS,A, , , , , , , 
7nts1A_001_______________,Pocket_001_7nts1_1_A.pdb,7nts1_1_A.pdb, , ,Nsp-5 (Mpro),cd21666,Severe acute respiratory syndrome coronavirus 2,7NTS,A, , , , , , , 
7nt31B_004_______________,Pocket_004_7nt31_1_B.pdb,7nt31_1_B.pdb, , ,Nsp-5 (Mpro),cd21666,Severe acute respiratory syndrome coronavirus 2,7NT3,B, , , , , , , 
7nt31B_003_______________,Pocket_003_7nt31_1_B.pdb,7nt31_1_B.pdb, , ,Nsp-5 (Mpro),cd21666,Severe acute respiratory syndrome coronavirus 2,7NT3,B,UQZ,0.828, , , , , 
7nt31B_002_______________,Pocket_002_7nt31_1_B.pdb,7nt31_1_B.pdb, , ,Nsp-5 (Mpro),cd21666,Severe acute respiratory syndrome coronavirus 2,7NT3,B, , , , , , , 
7nt31B_001_______________,Pocket_001_7nt31_1_B.pdb,7nt31_1_B.pdb, , ,Nsp-5 (Mpro),cd21666,Severe acute respiratory syndrome coronavirus 2,7NT3,B, , , , , , , 
7nt31A_006_______________,Pocket_006_7nt31_1_A.pdb,7nt31_1_A.pdb, , ,Nsp-5 (Mpro),cd21666,Severe acute respiratory syndrome coronavirus 2,7NT3,A, , , , , , , 
7nt31A_005_______________,Pocket_005_7nt31_1_A.pdb,7nt31_1_A.pdb, , ,Nsp-5 (Mpro),cd21666,Severe acute respiratory syndrome coronavirus 2,7NT3,A, , , , , , , 
7nt31A_004_______________,Pocket_004_7nt31_1_A.pdb,7nt31_1_A.pdb, , ,Nsp-5 (Mpro),cd21666,Severe acute respiratory syndrome coronavirus 2,7NT3,A, , , , , , , 
7nt31A_003_______________,Pocket_003_7nt31_1_A.pdb,7nt31_1_A.pdb, , ,Nsp-5 (Mpro),cd21666,Severe acute respiratory syndrome coronavirus 2,7NT3,A, , , , , , , 
7nt31A_002_______________,Pocket_002_7nt31_1_A.pdb,7nt31_1_A.pdb, , ,Nsp-5 (Mpro),cd21666,Severe acute respiratory syndrome coronavirus 2,7NT3,A, , ,7nt3,B,Nsp-5 (Mpro),cd21666,Severe acute respiratory syndrome coronavirus 2
7nt31A_001_______________,Pocket_001_7nt31_1_A.pdb,7nt31_1_A.pdb, , ,Nsp-5 (Mpro),cd21666,Severe acute respiratory syndrome coronavirus 2,7NT3,A, , , , , , , 
7nt21B_004_______________,Pocket_004_7nt21_1_B.pdb,7nt21_1_B.pdb, , ,Nsp-5 (Mpro),cd21666,Severe acute respiratory syndrome coronavirus 2,7NT2,B,URK,0.621, , , , , 
7nt21B_003_______________,Pocket_003_7nt21_1_B.pdb,7nt21_1_B.pdb, , ,Nsp-5 (Mpro),cd21666,Severe acute respiratory syndrome coronavirus 2,7NT2,B, , , , , , , 
7nt21B_002_______________,Pocket_002_7nt21_1_B.pdb,7nt21_1_B.pdb, , ,Nsp-5 (Mpro),cd21666,Severe acute respiratory syndrome coronavirus 2,7NT2,B, , , , , , , 
7nt21B_001_______________,Pocket_001_7nt21_1_B.pdb,7nt21_1_B.pdb, , ,Nsp-5 (Mpro),cd21666,Severe acute respiratory syndrome coronavirus 2,7NT2,B, , ,7nt2,A,Nsp-5 (Mpro),cd21666,Severe acute respiratory syndrome coronavirus 2
7nt21A_004_______________,Pocket_004_7nt21_1_A.pdb,7nt21_1_A.pdb, , ,Nsp-5 (Mpro),cd21666,Severe acute respiratory syndrome coronavirus 2,7NT2,A, , , , , , , 
7nt21A_003_______________,Pocket_003_7nt21_1_A.pdb,7nt21_1_A.pdb, , ,Nsp-5 (Mpro),cd21666,Severe acute respiratory syndrome coronavirus 2,7NT2,A, , , , , , , 
7nt21A_002_______________,Pocket_002_7nt21_1_A.pdb,7nt21_1_A.pdb, , ,Nsp-5 (Mpro),cd21666,Severe acute respiratory syndrome coronavirus 2,7NT2,A, , , , , , , 
7nt21A_001_______________,Pocket_001_7nt21_1_A.pdb,7nt21_1_A.pdb, , ,Nsp-5 (Mpro),cd21666,Severe acute respiratory syndrome coronavirus 2,7NT2,A, , ,7nt2,B,Nsp-5 (Mpro),cd21666,Severe acute respiratory syndrome coronavirus 2
