pocket.1,pocket.2,similarity_value
1_SARS-Spike S1 RBD,15_SARS2-Spike TRIMER closed,0.822672
1_SARS-Nucleocapsid,15_SARS2-Spike TRIMER closed,0.814961
1_SARS-Nsp-10,15_SARS2-Spike TRIMER closed,0.803941
1_MERS-Spike S2 HR,15_SARS2-Spike TRIMER closed,0.806078
9_SARS2-Spike TRIMER open,15_SARS2-Spike TRIMER open,0.834356
9_SARS-Nsp-5 (Mpro),15_SARS2-Spike TRIMER open,0.820084
9_SARS-Nsp-3 (Papain like),15_SARS2-Spike TRIMER open,0.830013
8_SARS2-Spike TRIMER open,15_SARS2-Spike TRIMER open,0.833577
8_SARS2-Spike TRIMER closed,15_SARS2-Spike TRIMER open,0.812345
7_SARS2-Nsp-13 (Helicase),15_SARS2-Spike TRIMER open,0.845245
7_SARS-Nsp-5 (Mpro),15_SARS2-Spike TRIMER open,0.8282
7_SARS-Nsp-3 (Papain like),15_SARS2-Spike TRIMER open,0.82555
7_SARS-Nsp-3,15_SARS2-Spike TRIMER open,0.813904
6_SARS2-Nsp-13 (Helicase),15_SARS2-Spike TRIMER open,0.836888
6_SARS-Nsp-5 (Mpro),15_SARS2-Spike TRIMER open,0.831012
6_SARS-Nsp-3 (Papain like),15_SARS2-Spike TRIMER open,0.821219
5_SARS2-Nsp-13 (Helicase),15_SARS2-Spike TRIMER open,0.830032
5_SARS-Nsp-16,15_SARS2-Spike TRIMER open,0.808763
4_SARS2-Spike TRIMER open,15_SARS2-Spike TRIMER open,0.813578
4_SARS-Spike NTD,15_SARS2-Spike TRIMER open,0.820326
4_SARS-Nsp-5 (Mpro),15_SARS2-Spike TRIMER open,0.822128
4_SARS-Nsp-3 (Papain like),15_SARS2-Spike TRIMER open,0.827249
4_SARS-Nsp-16,15_SARS2-Spike TRIMER open,0.845747
4_MERS-Spike NTD,15_SARS2-Spike TRIMER open,0.8297
3_SARS-Spike S1 RBD,15_SARS2-Spike TRIMER open,0.833967
3_SARS-Spike NTD,15_SARS2-Spike TRIMER open,0.830886
3_SARS-Nsp-3 (Papain like),15_SARS2-Spike TRIMER open,0.827361
3_MERS-Spike NTD,15_SARS2-Spike TRIMER open,0.808435
3_MERS-Nsp-3 (Papain like),15_SARS2-Spike TRIMER open,0.827855
25_SARS2-Spike TRIMER closed,15_SARS2-Spike TRIMER open,0.806101
24_SARS2-Spike TRIMER closed,15_SARS2-Spike TRIMER open,0.823731
22_SARS2-Spike TRIMER closed,15_SARS2-Spike TRIMER open,0.841696
21_SARS2-Spike TRIMER closed,15_SARS2-Spike TRIMER open,0.81459
20_SARS2-Spike TRIMER closed,15_SARS2-Spike TRIMER open,0.815192
2_SARS2-Spike TRIMER open,15_SARS2-Spike TRIMER open,0.824633
2_SARS2-Nsp-13 (Helicase),15_SARS2-Spike TRIMER open,0.820925
2_SARS-Spike S1 RBD,15_SARS2-Spike TRIMER open,0.829779
2_SARS-Spike NTD,15_SARS2-Spike TRIMER open,0.84051
2_SARS-Nsp-8,15_SARS2-Spike TRIMER open,0.811454
2_SARS-Nsp-3 (Papain like),15_SARS2-Spike TRIMER open,0.846577
2_SARS-Nsp-3,15_SARS2-Spike TRIMER open,0.806997
2_SARS-Nsp-16,15_SARS2-Spike TRIMER open,0.816275
2_MERS-Spike NTD,15_SARS2-Spike TRIMER open,0.834632
2_MERS-Nucleocapsid,15_SARS2-Spike TRIMER open,0.802808
19_SARS2-Spike TRIMER closed,15_SARS2-Spike TRIMER open,0.822838
18_SARS2-Spike TRIMER closed,15_SARS2-Spike TRIMER open,0.813583
17_SARS2-Spike TRIMER closed,15_SARS2-Spike TRIMER open,0.837464
15_SARS2-Spike TRIMER closed,15_SARS2-Spike TRIMER open,0.800904
14_SARS2-Spike TRIMER open,15_SARS2-Spike TRIMER open,0.829337
14_SARS2-Spike TRIMER closed,15_SARS2-Spike TRIMER open,0.834794
12_SARS2-Spike TRIMER closed,15_SARS2-Spike TRIMER open,0.812443
12_SARS-Nsp-5 (Mpro),15_SARS2-Spike TRIMER open,0.808301
11_SARS2-Spike TRIMER open,15_SARS2-Spike TRIMER open,0.83384
1_SARS2-Spike TRIMER open,15_SARS2-Spike TRIMER open,0.830357
1_SARS-Spike S1 RBD,15_SARS2-Spike TRIMER open,0.816752
1_SARS-Nucleocapsid,15_SARS2-Spike TRIMER open,0.819905
1_SARS-Nsp-8,15_SARS2-Spike TRIMER open,0.842824
1_SARS-Nsp-5 (Mpro),15_SARS2-Spike TRIMER open,0.828198
1_MERS-Spike S2 HR,15_SARS2-Spike TRIMER open,0.843709
1_MERS-Nucleocapsid,15_SARS2-Spike TRIMER open,0.811397
9_SARS-Nsp-5 (Mpro),16_SARS2-Spike TRIMER closed,0.805278
9_SARS-Nsp-3 (Papain like),16_SARS2-Spike TRIMER closed,0.814729
7_SARS2-Nsp-13 (Helicase),16_SARS2-Spike TRIMER closed,0.801489
5_SARS2-Nsp-13 (Helicase),16_SARS2-Spike TRIMER closed,0.806438
5_SARS-Nsp-16,16_SARS2-Spike TRIMER closed,0.805327
2_SARS-Nsp-16,16_SARS2-Spike TRIMER closed,0.808855
2_MERS-Spike NTD,16_SARS2-Spike TRIMER closed,0.810885
14_SARS2-Spike TRIMER closed,16_SARS2-Spike TRIMER closed,0.805734
1_MERS-Spike S2 HR,16_SARS2-Spike TRIMER closed,0.803213
9_SARS2-Spike TRIMER open,16_SARS2-Spike TRIMER open,0.818715
9_SARS-Nsp-5 (Mpro),16_SARS2-Spike TRIMER open,0.842306
9_SARS-Nsp-3 (Papain like),16_SARS2-Spike TRIMER open,0.81866
8_SARS2-Spike TRIMER open,16_SARS2-Spike TRIMER open,0.816151
8_SARS2-Spike TRIMER closed,16_SARS2-Spike TRIMER open,0.800667
7_SARS2-Nsp-13 (Helicase),16_SARS2-Spike TRIMER open,0.809814
7_SARS-Nsp-5 (Mpro),16_SARS2-Spike TRIMER open,0.801713
7_SARS-Nsp-3,16_SARS2-Spike TRIMER open,0.808146
6_SARS2-Nsp-13 (Helicase),16_SARS2-Spike TRIMER open,0.808466
6_SARS-Nsp-5 (Mpro),16_SARS2-Spike TRIMER open,0.801211
5_SARS2-Nsp-13 (Helicase),16_SARS2-Spike TRIMER open,0.837219
5_SARS-Nsp-16,16_SARS2-Spike TRIMER open,0.807399
4_SARS2-Spike TRIMER open,16_SARS2-Spike TRIMER open,0.823497
4_SARS2-Nsp-13 (Helicase),16_SARS2-Spike TRIMER open,0.820774
4_SARS-Spike NTD,16_SARS2-Spike TRIMER open,0.814906
4_SARS-Nsp-3 (Papain like),16_SARS2-Spike TRIMER open,0.824903
4_SARS-Nsp-16,16_SARS2-Spike TRIMER open,0.820733
4_MERS-Spike NTD,16_SARS2-Spike TRIMER open,0.80018
3_SARS-Spike S1 RBD,16_SARS2-Spike TRIMER open,0.825463
3_SARS-Spike NTD,16_SARS2-Spike TRIMER open,0.808047
3_SARS-Nsp-3 (Papain like),16_SARS2-Spike TRIMER open,0.809658
3_MERS-Spike NTD,16_SARS2-Spike TRIMER open,0.820651
3_MERS-Nsp-3 (Papain like),16_SARS2-Spike TRIMER open,0.800276
25_SARS2-Spike TRIMER closed,16_SARS2-Spike TRIMER open,0.846666
22_SARS2-Spike TRIMER closed,16_SARS2-Spike TRIMER open,0.811099
21_SARS2-Spike TRIMER closed,16_SARS2-Spike TRIMER open,0.80563
2_SARS2-Spike TRIMER open,16_SARS2-Spike TRIMER open,0.802049
2_SARS2-Nsp-13 (Helicase),16_SARS2-Spike TRIMER open,0.821814
2_SARS-Spike S1 RBD,16_SARS2-Spike TRIMER open,0.824864
2_SARS-Spike NTD,16_SARS2-Spike TRIMER open,0.816905
2_SARS-Nsp-8,16_SARS2-Spike TRIMER open,0.821563
2_SARS-Nsp-3 (Papain like),16_SARS2-Spike TRIMER open,0.822349
2_SARS-Nsp-3,16_SARS2-Spike TRIMER open,0.811007
2_SARS-Nsp-16,16_SARS2-Spike TRIMER open,0.814334
2_MERS-Spike NTD,16_SARS2-Spike TRIMER open,0.813661
2_MERS-Nsp-3 (Papain like),16_SARS2-Spike TRIMER open,0.824891
19_SARS2-Spike TRIMER closed,16_SARS2-Spike TRIMER open,0.826558
18_SARS2-Spike TRIMER closed,16_SARS2-Spike TRIMER open,0.818088
17_SARS2-Spike TRIMER closed,16_SARS2-Spike TRIMER open,0.8301
16_SARS2-Spike TRIMER closed,16_SARS2-Spike TRIMER open,0.811823
15_SARS2-Spike TRIMER open,16_SARS2-Spike TRIMER open,0.82539
15_SARS2-Spike TRIMER closed,16_SARS2-Spike TRIMER open,0.809254
14_SARS2-Spike TRIMER open,16_SARS2-Spike TRIMER open,0.803759
14_SARS2-Spike TRIMER closed,16_SARS2-Spike TRIMER open,0.803074
13_SARS2-Spike TRIMER open,16_SARS2-Spike TRIMER open,0.81378
12_SARS2-Spike TRIMER closed,16_SARS2-Spike TRIMER open,0.801645
12_SARS-Nsp-5 (Mpro),16_SARS2-Spike TRIMER open,0.816046
11_SARS2-Spike TRIMER open,16_SARS2-Spike TRIMER open,0.809439
11_SARS-Nsp-5 (Mpro),16_SARS2-Spike TRIMER open,0.804443
10_SARS2-Spike TRIMER open,16_SARS2-Spike TRIMER open,0.800048
1_SARS2-Spike TRIMER open,16_SARS2-Spike TRIMER open,0.815105
1_SARS-Spike S1 RBD,16_SARS2-Spike TRIMER open,0.809925
1_SARS-Nucleocapsid,16_SARS2-Spike TRIMER open,0.809495
1_SARS-Nsp-10,16_SARS2-Spike TRIMER open,0.819753
1_MERS-Spike S2 HR,16_SARS2-Spike TRIMER open,0.837833
1_MERS-Nucleocapsid,16_SARS2-Spike TRIMER open,0.801342
9_SARS-Nsp-5 (Mpro),17_SARS2-Spike TRIMER closed,0.824291
8_SARS2-Spike TRIMER closed,17_SARS2-Spike TRIMER closed,0.80788
7_SARS2-Nsp-13 (Helicase),17_SARS2-Spike TRIMER closed,0.812504
7_SARS-Nsp-3,17_SARS2-Spike TRIMER closed,0.808259
6_SARS2-Nsp-13 (Helicase),17_SARS2-Spike TRIMER closed,0.812278
6_SARS-Nsp-5 (Mpro),17_SARS2-Spike TRIMER closed,0.806541
6_SARS-Nsp-3 (Papain like),17_SARS2-Spike TRIMER closed,0.821843
5_SARS2-Nsp-13 (Helicase),17_SARS2-Spike TRIMER closed,0.811568
5_SARS-Nsp-16,17_SARS2-Spike TRIMER closed,0.816286
4_SARS-Spike NTD,17_SARS2-Spike TRIMER closed,0.816891
4_SARS-Nsp-5 (Mpro),17_SARS2-Spike TRIMER closed,0.804792
4_SARS-Nsp-3 (Papain like),17_SARS2-Spike TRIMER closed,0.813699
4_SARS-Nsp-16,17_SARS2-Spike TRIMER closed,0.815928
4_MERS-Spike NTD,17_SARS2-Spike TRIMER closed,0.822128
3_SARS-Spike S1 RBD,17_SARS2-Spike TRIMER closed,0.810417
3_SARS-Nsp-3 (Papain like),17_SARS2-Spike TRIMER closed,0.818827
3_MERS-Spike NTD,17_SARS2-Spike TRIMER closed,0.80647
3_MERS-Nsp-3 (Papain like),17_SARS2-Spike TRIMER closed,0.826773
2_SARS2-Nsp-13 (Helicase),17_SARS2-Spike TRIMER closed,0.837994
2_SARS-Spike S1 RBD,17_SARS2-Spike TRIMER closed,0.817743
2_SARS-Spike NTD,17_SARS2-Spike TRIMER closed,0.8243
2_SARS-Nsp-8,17_SARS2-Spike TRIMER closed,0.811448
2_SARS-Nsp-3 (Papain like),17_SARS2-Spike TRIMER closed,0.811872
2_SARS-Nsp-16,17_SARS2-Spike TRIMER closed,0.825074
2_MERS-Spike NTD,17_SARS2-Spike TRIMER closed,0.828103
2_MERS-Nucleocapsid,17_SARS2-Spike TRIMER closed,0.810632
2_MERS-Nsp-3 (Papain like),17_SARS2-Spike TRIMER closed,0.812719
14_SARS2-Spike TRIMER closed,17_SARS2-Spike TRIMER closed,0.829564
12_SARS2-Spike TRIMER closed,17_SARS2-Spike TRIMER closed,0.805324
12_SARS-Nsp-5 (Mpro),17_SARS2-Spike TRIMER closed,0.811457
1_SARS-Spike S1 RBD,17_SARS2-Spike TRIMER closed,0.8112
1_SARS-Nsp-8,17_SARS2-Spike TRIMER closed,0.826753
1_SARS-Nsp-5 (Mpro),17_SARS2-Spike TRIMER closed,0.81035
1_MERS-Spike S2 HR,17_SARS2-Spike TRIMER closed,0.837325
1_MERS-Nucleocapsid,17_SARS2-Spike TRIMER closed,0.816495
9_SARS2-Spike TRIMER open,17_SARS2-Spike TRIMER open,0.844757
9_SARS-Nsp-5 (Mpro),17_SARS2-Spike TRIMER open,0.826839
9_SARS-Nsp-3 (Papain like),17_SARS2-Spike TRIMER open,0.833678
8_SARS2-Spike TRIMER open,17_SARS2-Spike TRIMER open,0.833273
8_SARS2-Spike TRIMER closed,17_SARS2-Spike TRIMER open,0.811544
7_SARS2-Nsp-13 (Helicase),17_SARS2-Spike TRIMER open,0.83077
7_SARS-Nsp-5 (Mpro),17_SARS2-Spike TRIMER open,0.816932
7_SARS-Nsp-3 (Papain like),17_SARS2-Spike TRIMER open,0.812954
7_SARS-Nsp-3,17_SARS2-Spike TRIMER open,0.820963
6_SARS2-Nsp-13 (Helicase),17_SARS2-Spike TRIMER open,0.832563
6_SARS-Nsp-5 (Mpro),17_SARS2-Spike TRIMER open,0.821477
6_SARS-Nsp-3 (Papain like),17_SARS2-Spike TRIMER open,0.820337
5_SARS2-Nsp-13 (Helicase),17_SARS2-Spike TRIMER open,0.829326
5_SARS-Nsp-16,17_SARS2-Spike TRIMER open,0.824927
4_SARS2-Spike TRIMER open,17_SARS2-Spike TRIMER open,0.809979
4_SARS-Spike NTD,17_SARS2-Spike TRIMER open,0.808507
4_SARS-Nsp-5 (Mpro),17_SARS2-Spike TRIMER open,0.820764
4_SARS-Nsp-3 (Papain like),17_SARS2-Spike TRIMER open,0.815443
4_SARS-Nsp-16,17_SARS2-Spike TRIMER open,0.839984
4_MERS-Spike NTD,17_SARS2-Spike TRIMER open,0.831128
3_SARS-Spike S1 RBD,17_SARS2-Spike TRIMER open,0.829308
3_SARS-Spike NTD,17_SARS2-Spike TRIMER open,0.827387
3_SARS-Nsp-3 (Papain like),17_SARS2-Spike TRIMER open,0.827651
3_MERS-Spike NTD,17_SARS2-Spike TRIMER open,0.80828
3_MERS-Nsp-3 (Papain like),17_SARS2-Spike TRIMER open,0.830334
25_SARS2-Spike TRIMER closed,17_SARS2-Spike TRIMER open,0.809465
24_SARS2-Spike TRIMER closed,17_SARS2-Spike TRIMER open,0.821469
22_SARS2-Spike TRIMER closed,17_SARS2-Spike TRIMER open,0.823405
21_SARS2-Spike TRIMER closed,17_SARS2-Spike TRIMER open,0.820069
20_SARS2-Spike TRIMER closed,17_SARS2-Spike TRIMER open,0.810542
2_SARS2-Spike TRIMER open,17_SARS2-Spike TRIMER open,0.82252
2_SARS2-Nsp-13 (Helicase),17_SARS2-Spike TRIMER open,0.815692
2_SARS-Spike S1 RBD,17_SARS2-Spike TRIMER open,0.829931
2_SARS-Spike NTD,17_SARS2-Spike TRIMER open,0.83041
2_SARS-Nsp-3 (Papain like),17_SARS2-Spike TRIMER open,0.825699
2_SARS-Nsp-3,17_SARS2-Spike TRIMER open,0.807422
2_SARS-Nsp-16,17_SARS2-Spike TRIMER open,0.820866
2_MERS-Spike NTD,17_SARS2-Spike TRIMER open,0.803133
2_MERS-Nsp-3 (Papain like),17_SARS2-Spike TRIMER open,0.807361
19_SARS2-Spike TRIMER closed,17_SARS2-Spike TRIMER open,0.832846
18_SARS2-Spike TRIMER closed,17_SARS2-Spike TRIMER open,0.817123
17_SARS2-Spike TRIMER closed,17_SARS2-Spike TRIMER open,0.825191
16_SARS2-Spike TRIMER open,17_SARS2-Spike TRIMER open,0.822801
15_SARS2-Spike TRIMER open,17_SARS2-Spike TRIMER open,0.825419
15_SARS2-Spike TRIMER closed,17_SARS2-Spike TRIMER open,0.801323
14_SARS2-Spike TRIMER open,17_SARS2-Spike TRIMER open,0.82063
14_SARS2-Spike TRIMER closed,17_SARS2-Spike TRIMER open,0.830957
11_SARS2-Spike TRIMER open,17_SARS2-Spike TRIMER open,0.804419
1_SARS2-Spike TRIMER open,17_SARS2-Spike TRIMER open,0.814342
1_SARS-Spike S1 RBD,17_SARS2-Spike TRIMER open,0.811469
1_SARS-Nucleocapsid,17_SARS2-Spike TRIMER open,0.802791
1_SARS-Nsp-8,17_SARS2-Spike TRIMER open,0.827195
1_SARS-Nsp-5 (Mpro),17_SARS2-Spike TRIMER open,0.812085
1_SARS-Nsp-10,17_SARS2-Spike TRIMER open,0.808375
1_MERS-Spike S2 HR,17_SARS2-Spike TRIMER open,0.836892
1_MERS-Nucleocapsid,17_SARS2-Spike TRIMER open,0.807328
9_SARS-Nsp-5 (Mpro),18_SARS2-Spike TRIMER closed,0.805618
9_SARS-Nsp-3 (Papain like),18_SARS2-Spike TRIMER closed,0.836126
8_SARS2-Spike TRIMER closed,18_SARS2-Spike TRIMER closed,0.825668
7_SARS2-Nsp-13 (Helicase),18_SARS2-Spike TRIMER closed,0.818536
7_SARS-Nsp-5 (Mpro),18_SARS2-Spike TRIMER closed,0.807895
7_SARS-Nsp-3 (Papain like),18_SARS2-Spike TRIMER closed,0.805532
7_SARS-Nsp-3,18_SARS2-Spike TRIMER closed,0.832082
6_SARS2-Nsp-13 (Helicase),18_SARS2-Spike TRIMER closed,0.81132
6_SARS-Nsp-5 (Mpro),18_SARS2-Spike TRIMER closed,0.838518
6_SARS-Nsp-3 (Papain like),18_SARS2-Spike TRIMER closed,0.839994
6_SARS-Nsp-3,18_SARS2-Spike TRIMER closed,0.802591
5_SARS2-Nsp-13 (Helicase),18_SARS2-Spike TRIMER closed,0.815478
5_SARS-Nsp-16,18_SARS2-Spike TRIMER closed,0.832632
4_SARS-Spike NTD,18_SARS2-Spike TRIMER closed,0.831427
4_SARS-Nsp-3 (Papain like),18_SARS2-Spike TRIMER closed,0.815478
4_SARS-Nsp-16,18_SARS2-Spike TRIMER closed,0.829996
4_MERS-Spike NTD,18_SARS2-Spike TRIMER closed,0.8019
3_SARS-Spike S1 RBD,18_SARS2-Spike TRIMER closed,0.840017
3_SARS-Spike NTD,18_SARS2-Spike TRIMER closed,0.813168
3_SARS-Nsp-3 (Papain like),18_SARS2-Spike TRIMER closed,0.831888
3_MERS-Spike NTD,18_SARS2-Spike TRIMER closed,0.818472
2_SARS2-Nsp-13 (Helicase),18_SARS2-Spike TRIMER closed,0.809548
2_SARS-Spike S1 RBD,18_SARS2-Spike TRIMER closed,0.803853
2_SARS-Spike NTD,18_SARS2-Spike TRIMER closed,0.828714
2_SARS-Nsp-3 (Papain like),18_SARS2-Spike TRIMER closed,0.824437
2_SARS-Nsp-3,18_SARS2-Spike TRIMER closed,0.8065
2_SARS-Nsp-16,18_SARS2-Spike TRIMER closed,0.811209
2_MERS-Spike NTD,18_SARS2-Spike TRIMER closed,0.81254
2_MERS-Nsp-3 (Papain like),18_SARS2-Spike TRIMER closed,0.8153
17_SARS2-Spike TRIMER closed,18_SARS2-Spike TRIMER closed,0.81042
15_SARS2-Spike TRIMER closed,18_SARS2-Spike TRIMER closed,0.810295
14_SARS2-Spike TRIMER closed,18_SARS2-Spike TRIMER closed,0.820124
13_SARS2-Spike TRIMER closed,18_SARS2-Spike TRIMER closed,0.801423
12_SARS-Nsp-5 (Mpro),18_SARS2-Spike TRIMER closed,0.805486
1_SARS-Spike S1 RBD,18_SARS2-Spike TRIMER closed,0.825585
1_SARS-Nucleocapsid,18_SARS2-Spike TRIMER closed,0.826831
1_SARS-Nsp-8,18_SARS2-Spike TRIMER closed,0.812528
1_SARS-Nsp-10,18_SARS2-Spike TRIMER closed,0.822206
1_MERS-Spike S2 HR,18_SARS2-Spike TRIMER closed,0.821572
1_MERS-Nucleocapsid,18_SARS2-Spike TRIMER closed,0.821024
9_SARS2-Spike TRIMER open,18_SARS2-Spike TRIMER open,0.815592
9_SARS-Nsp-5 (Mpro),18_SARS2-Spike TRIMER open,0.836086
9_SARS-Nsp-3 (Papain like),18_SARS2-Spike TRIMER open,0.824445
8_SARS2-Spike TRIMER open,18_SARS2-Spike TRIMER open,0.818911
8_SARS2-Spike TRIMER closed,18_SARS2-Spike TRIMER open,0.802576
7_SARS2-Nsp-13 (Helicase),18_SARS2-Spike TRIMER open,0.814846
7_SARS-Nsp-5 (Mpro),18_SARS2-Spike TRIMER open,0.811977
7_SARS-Nsp-3 (Papain like),18_SARS2-Spike TRIMER open,0.807705
7_SARS-Nsp-3,18_SARS2-Spike TRIMER open,0.808595
6_SARS2-Nsp-13 (Helicase),18_SARS2-Spike TRIMER open,0.833128
6_SARS-Nsp-5 (Mpro),18_SARS2-Spike TRIMER open,0.816764
6_SARS-Nsp-3 (Papain like),18_SARS2-Spike TRIMER open,0.817315
5_SARS2-Nsp-13 (Helicase),18_SARS2-Spike TRIMER open,0.838413
5_SARS-Nsp-16,18_SARS2-Spike TRIMER open,0.824061
4_SARS2-Spike TRIMER open,18_SARS2-Spike TRIMER open,0.802303
4_SARS-Spike NTD,18_SARS2-Spike TRIMER open,0.812349
4_SARS-Nsp-3 (Papain like),18_SARS2-Spike TRIMER open,0.82242
4_SARS-Nsp-16,18_SARS2-Spike TRIMER open,0.82152
4_MERS-Spike NTD,18_SARS2-Spike TRIMER open,0.81084
3_SARS-Spike S1 RBD,18_SARS2-Spike TRIMER open,0.807924
3_SARS-Spike NTD,18_SARS2-Spike TRIMER open,0.808845
3_SARS-Nsp-3 (Papain like),18_SARS2-Spike TRIMER open,0.808328
3_MERS-Spike NTD,18_SARS2-Spike TRIMER open,0.812778
3_MERS-Nsp-3 (Papain like),18_SARS2-Spike TRIMER open,0.802901
25_SARS2-Spike TRIMER closed,18_SARS2-Spike TRIMER open,0.823534
24_SARS2-Spike TRIMER closed,18_SARS2-Spike TRIMER open,0.80893
22_SARS2-Spike TRIMER closed,18_SARS2-Spike TRIMER open,0.817235
2_SARS2-Spike TRIMER open,18_SARS2-Spike TRIMER open,0.809949
2_SARS2-Nsp-13 (Helicase),18_SARS2-Spike TRIMER open,0.804288
2_SARS-Spike S1 RBD,18_SARS2-Spike TRIMER open,0.829009
2_SARS-Spike NTD,18_SARS2-Spike TRIMER open,0.825494
2_SARS-Nsp-3 (Papain like),18_SARS2-Spike TRIMER open,0.832133
2_SARS-Nsp-16,18_SARS2-Spike TRIMER open,0.811578
2_MERS-Spike NTD,18_SARS2-Spike TRIMER open,0.807764
2_MERS-Nucleocapsid,18_SARS2-Spike TRIMER open,0.819072
2_MERS-Nsp-3 (Papain like),18_SARS2-Spike TRIMER open,0.806522
19_SARS2-Spike TRIMER closed,18_SARS2-Spike TRIMER open,0.831495
18_SARS2-Spike TRIMER closed,18_SARS2-Spike TRIMER open,0.802802
17_SARS2-Spike TRIMER open,18_SARS2-Spike TRIMER open,0.81733
17_SARS2-Spike TRIMER closed,18_SARS2-Spike TRIMER open,0.821866
16_SARS2-Spike TRIMER open,18_SARS2-Spike TRIMER open,0.816027
15_SARS2-Spike TRIMER open,18_SARS2-Spike TRIMER open,0.824154
14_SARS2-Spike TRIMER open,18_SARS2-Spike TRIMER open,0.821622
14_SARS2-Spike TRIMER closed,18_SARS2-Spike TRIMER open,0.808733
11_SARS2-Spike TRIMER open,18_SARS2-Spike TRIMER open,0.812671
1_SARS2-Spike TRIMER open,18_SARS2-Spike TRIMER open,0.814534
1_SARS-Spike S1 RBD,18_SARS2-Spike TRIMER open,0.819768
1_SARS-Nucleocapsid,18_SARS2-Spike TRIMER open,0.80148
1_SARS-Nsp-8,18_SARS2-Spike TRIMER open,0.808177
1_SARS-Nsp-5 (Mpro),18_SARS2-Spike TRIMER open,0.806065
1_SARS-Nsp-10,18_SARS2-Spike TRIMER open,0.810679
1_MERS-Spike S2 HR,18_SARS2-Spike TRIMER open,0.824837
1_MERS-Nucleocapsid,18_SARS2-Spike TRIMER open,0.804357
9_SARS-Nsp-5 (Mpro),19_SARS2-Spike TRIMER closed,0.823075
9_SARS-Nsp-3 (Papain like),19_SARS2-Spike TRIMER closed,0.831845
8_SARS2-Spike TRIMER closed,19_SARS2-Spike TRIMER closed,0.831012
7_SARS2-Nsp-13 (Helicase),19_SARS2-Spike TRIMER closed,0.825607
7_SARS-Nsp-5 (Mpro),19_SARS2-Spike TRIMER closed,0.809805
7_SARS-Nsp-3 (Papain like),19_SARS2-Spike TRIMER closed,0.812647
7_SARS-Nsp-3,19_SARS2-Spike TRIMER closed,0.819552
6_SARS2-Nsp-13 (Helicase),19_SARS2-Spike TRIMER closed,0.828098
6_SARS-Nsp-5 (Mpro),19_SARS2-Spike TRIMER closed,0.827571
6_SARS-Nsp-3 (Papain like),19_SARS2-Spike TRIMER closed,0.823729
5_SARS2-Nsp-13 (Helicase),19_SARS2-Spike TRIMER closed,0.820085
5_SARS-Nsp-16,19_SARS2-Spike TRIMER closed,0.811256
4_SARS2-Spike TRIMER closed,19_SARS2-Spike TRIMER closed,0.802159
4_SARS2-Nsp-13 (Helicase),19_SARS2-Spike TRIMER closed,0.805724
4_SARS-Spike NTD,19_SARS2-Spike TRIMER closed,0.817099
4_SARS-Nsp-5 (Mpro),19_SARS2-Spike TRIMER closed,0.803596
4_SARS-Nsp-3 (Papain like),19_SARS2-Spike TRIMER closed,0.813053
4_SARS-Nsp-16,19_SARS2-Spike TRIMER closed,0.831206
4_MERS-Spike NTD,19_SARS2-Spike TRIMER closed,0.819225
3_SARS-Spike S1 RBD,19_SARS2-Spike TRIMER closed,0.827877
3_SARS-Spike NTD,19_SARS2-Spike TRIMER closed,0.823855
3_SARS-Nsp-3 (Papain like),19_SARS2-Spike TRIMER closed,0.8291
3_MERS-Spike NTD,19_SARS2-Spike TRIMER closed,0.801243
3_MERS-Nsp-3 (Papain like),19_SARS2-Spike TRIMER closed,0.822098
2_SARS2-Nsp-13 (Helicase),19_SARS2-Spike TRIMER closed,0.815639
2_SARS-Spike S1 RBD,19_SARS2-Spike TRIMER closed,0.816564
2_SARS-Spike NTD,19_SARS2-Spike TRIMER closed,0.856667
2_SARS-Nsp-8,19_SARS2-Spike TRIMER closed,0.813178
2_SARS-Nsp-3 (Papain like),19_SARS2-Spike TRIMER closed,0.836352
2_SARS-Nsp-3,19_SARS2-Spike TRIMER closed,0.821951
2_SARS-Nsp-16,19_SARS2-Spike TRIMER closed,0.852588
2_MERS-Spike NTD,19_SARS2-Spike TRIMER closed,0.809899
2_MERS-Nucleocapsid,19_SARS2-Spike TRIMER closed,0.811394
2_MERS-Nsp-3 (Papain like),19_SARS2-Spike TRIMER closed,0.812599
18_SARS2-Spike TRIMER closed,19_SARS2-Spike TRIMER closed,0.824238
17_SARS2-Spike TRIMER closed,19_SARS2-Spike TRIMER closed,0.819786
16_SARS2-Spike TRIMER closed,19_SARS2-Spike TRIMER closed,0.805873
14_SARS2-Spike TRIMER closed,19_SARS2-Spike TRIMER closed,0.835626
13_SARS2-Spike TRIMER closed,19_SARS2-Spike TRIMER closed,0.817833
12_SARS2-Spike TRIMER closed,19_SARS2-Spike TRIMER closed,0.808268
1_SARS-Spike S1 RBD,19_SARS2-Spike TRIMER closed,0.824419
1_SARS-Nucleocapsid,19_SARS2-Spike TRIMER closed,0.803783
1_SARS-Nsp-8,19_SARS2-Spike TRIMER closed,0.834505
1_SARS-Nsp-5 (Mpro),19_SARS2-Spike TRIMER closed,0.807566
1_SARS-Nsp-10,19_SARS2-Spike TRIMER closed,0.803246
1_MERS-Spike S2 HR,19_SARS2-Spike TRIMER closed,0.832415
1_MERS-Nucleocapsid,19_SARS2-Spike TRIMER closed,0.813768
9_SARS-Nsp-5 (Mpro),2_MERS-Nsp-3 (Papain like),0.813874
7_SARS-Nsp-3,2_MERS-Nsp-3 (Papain like),0.806596
